"Andrew Bogut","CLE","C",84,260,32,11,"University of Utah",242224,1,1,0,0,0,0
"Channing Frye","CLE","C",83,255,33,10,"University of Arizona",7806971,74,1398,676,137,101,63
"Dahntay Jones","CLE","SF",78,225,36,12,"Rutgers University, Duke University",24022,1,12,9,0,3,3
"Deron Williams","CLE","PG",75,200,32,11,"University of Illinois at Urbana-Champaign",259626,24,486,179,22,46,21
"Derrick Williams","CLE","PF",80,240,25,5,"University of Arizona",402043,25,427,156,21,33,27
"Edy Tavares","CLE","C",87,260,24,1,"",5145,1,24,6,0,3,0
"Iman Shumpert","CLE","SG",77,220,26,5,"Georgia Institute of Technology",9700000,76,1937,567,94,107,71
"J.R. Smith","CLE","SG",78,225,31,12,"",12800000,41,1187,351,95,28,10
"James Jones","CLE","SF",80,218,36,13,"University of Miami",1551659,48,381,132,31,13,13
"Jordan McRae","CLE","SG",78,185,25,1,"University of Tennessee",874636,37,384,161,18,40,27
"Kay Felder","CLE","PG",69,176,21,0,"Oakland University",543471,42,386,166,7,55,35
"Kevin Love","CLE","PF",82,251,28,8,"University of California, Los Angeles",21165675,60,1885,1142,145,225,257
"Kyle Korver","CLE","SG",79,212,35,13,"Creighton University",5239437,35,859,373,97,34,14
"Kyrie Irving","CLE","PG",75,193,24,5,"Duke University",17638063,72,2525,1816,177,494,297
"Larry Sanders","CLE","C",83,235,28,5,"Virginia Commonwealth University",207722,5,13,4,0,1,2
"LeBron James","CLE","SF",80,250,32,13,"",30963450,74,2794,1954,124,612,358
"Richard Jefferson","CLE","SF",79,233,36,15,"University of Arizona",2500000,79,1614,448,62,91,80
"Tristan Thompson","CLE","C",81,238,25,5,"University of Texas at Austin",15330435,78,2336,630,0,262,106
